relative_second,timestamp_utc,target_units,allocated_units,ready_units,pending_actions,allocated_vcpu,allocated_memory_gib,scale_direction,collector_error
0.008670202000303107,2026-09-02T18:55:38.188835+00:00,1,1,1,False,2.0,2.0,,
5.010267685000144,2026-09-02T18:55:42.869002+00:00,1,1,1,False,2.0,2.0,,
10.01055361600038,2026-09-02T18:55:47.753360+00:00,1,1,1,False,2.0,2.0,,
15.011258216000442,2026-09-02T18:55:53.181481+00:00,1,1,1,False,2.0,2.0,,
20.01399753700025,2026-09-02T18:55:57.668628+00:00,1,1,1,False,2.0,2.0,,
25.016965385000276,2026-09-02T18:56:02.863969+00:00,1,1,1,False,2.0,2.0,,
30.017988078000144,2026-09-02T18:56:07.759769+00:00,1,1,1,False,2.0,2.0,,
35.01890640800002,2026-09-02T18:56:12.456842+00:00,1,1,1,False,2.0,2.0,,
40.01908936300015,2026-09-02T18:56:17.288351+00:00,1,1,1,False,2.0,2.0,,
45.01933941900006,2026-09-02T18:56:22.251511+00:00,1,1,1,False,2.0,2.0,,
50.02049683700034,2026-09-02T18:56:27.427119+00:00,1,1,1,False,2.0,2.0,,
55.021489310000106,2026-09-02T18:56:32.433667+00:00,1,1,1,False,2.0,2.0,,
60.022027518000414,2026-09-02T18:56:37.399942+00:00,1,1,1,False,2.0,2.0,,
65.02265672200019,2026-09-02T18:56:42.456424+00:00,1,1,1,False,2.0,2.0,,
70.03712421200044,2026-09-02T18:56:47.373445+00:00,1,1,1,False,2.0,2.0,,
75.03773861300033,2026-09-02T18:56:52.328947+00:00,1,1,1,False,2.0,2.0,,
80.03873752400023,2026-09-02T18:56:57.446283+00:00,1,1,1,False,2.0,2.0,,
85.03898166500039,2026-09-02T18:57:02.386916+00:00,1,1,1,False,2.0,2.0,,
90.04031636200034,2026-09-02T18:57:07.557078+00:00,1,1,1,False,2.0,2.0,,
95.04155464600035,2026-09-02T18:57:12.393328+00:00,1,1,1,False,2.0,2.0,,
100.04178954900044,2026-09-02T18:57:17.514998+00:00,1,1,1,False,2.0,2.0,,
105.0426776510003,2026-09-02T18:57:22.504096+00:00,1,1,1,False,2.0,2.0,,
110.04349568200041,2026-09-02T18:57:27.354786+00:00,1,1,1,False,2.0,2.0,,
115.0437280670003,2026-09-02T18:57:32.584466+00:00,1,1,1,False,2.0,2.0,,
120.04431344600016,2026-09-02T18:57:37.676148+00:00,1,1,1,False,2.0,2.0,,
125.0446330550003,2026-09-02T18:57:42.693594+00:00,1,1,1,False,2.0,2.0,,
130.04585311200026,2026-09-02T18:57:47.811459+00:00,1,1,1,False,2.0,2.0,,
135.04617806800024,2026-09-02T18:57:52.580229+00:00,1,1,1,False,2.0,2.0,,
140.04740317700043,2026-09-02T18:57:57.605803+00:00,1,1,1,False,2.0,2.0,,
145.0483878340001,2026-09-02T18:58:02.489036+00:00,1,1,1,False,2.0,2.0,,
150.04910460500014,2026-09-02T18:58:07.224628+00:00,1,1,1,False,2.0,2.0,,
155.05013108600042,2026-09-02T18:58:12.416732+00:00,1,1,1,False,2.0,2.0,,
160.05073603500023,2026-09-02T18:58:17.248472+00:00,1,1,1,False,2.0,2.0,,
165.0517204470002,2026-09-02T18:58:22.407046+00:00,1,1,1,False,2.0,2.0,,
170.05258605100016,2026-09-02T18:58:27.124892+00:00,1,1,1,False,2.0,2.0,,
175.05276986200033,2026-09-02T18:58:32.219251+00:00,1,1,1,False,2.0,2.0,,
180.053623496,2026-09-02T18:58:37.401165+00:00,1,1,1,False,2.0,2.0,,
185.05459770900006,2026-09-02T18:58:42.376213+00:00,1,1,1,False,2.0,2.0,,
190.05570536200003,2026-09-02T18:58:47.270636+00:00,1,1,1,False,2.0,2.0,,
195.05640316500012,2026-09-02T18:58:52.317865+00:00,1,1,1,False,2.0,2.0,,
200.05777663200024,2026-09-02T18:58:57.361159+00:00,1,1,1,False,2.0,2.0,,
205.05864463800026,2026-09-02T18:59:02.363114+00:00,1,1,1,False,2.0,2.0,,
210.05918214600024,2026-09-02T18:59:07.295393+00:00,1,1,1,False,2.0,2.0,,
215.0596293200001,2026-09-02T18:59:12.415023+00:00,1,1,1,False,2.0,2.0,,
220.06028896700036,2026-09-02T18:59:17.324714+00:00,1,1,1,False,2.0,2.0,,
225.06119048300025,2026-09-02T18:59:22.417673+00:00,1,1,1,False,2.0,2.0,,
230.06238212900007,2026-09-02T18:59:27.470311+00:00,1,1,1,False,2.0,2.0,,
235.06333642000027,2026-09-02T18:59:32.613862+00:00,1,1,1,False,2.0,2.0,,
240.0639065070004,2026-09-02T18:59:37.504516+00:00,1,1,1,False,2.0,2.0,,
245.06499491800014,2026-09-02T18:59:42.332436+00:00,1,1,1,False,2.0,2.0,,
250.06579726200016,2026-09-02T18:59:47.266818+00:00,1,1,1,False,2.0,2.0,,
255.0668560690001,2026-09-02T18:59:52.447534+00:00,1,1,1,False,2.0,2.0,,
260.0672851170002,2026-09-02T18:59:57.231308+00:00,1,1,1,False,2.0,2.0,,
265.0680510940001,2026-09-02T19:00:02.668651+00:00,1,1,1,False,2.0,2.0,,
270.06955889300025,2026-09-02T19:00:07.770945+00:00,1,1,1,False,2.0,2.0,,
275.07078881800044,2026-09-02T19:00:12.408141+00:00,1,1,1,False,2.0,2.0,,
280.0723409410002,2026-09-02T19:00:17.386983+00:00,1,1,1,False,2.0,2.0,,
285.0726182750004,2026-09-02T19:00:22.393543+00:00,1,1,1,False,2.0,2.0,,
290.07356180900024,2026-09-02T19:00:27.261276+00:00,1,1,1,False,2.0,2.0,,
295.07465968500037,2026-09-02T19:00:32.484888+00:00,1,1,1,False,2.0,2.0,,
300.0758218990004,2026-09-02T19:00:37.552988+00:00,1,1,1,False,2.0,2.0,,
305.0770686330002,2026-09-02T19:00:42.537558+00:00,1,1,1,False,2.0,2.0,,
310.077627956,2026-09-02T19:00:47.365471+00:00,1,1,1,False,2.0,2.0,,
315.07771536200016,2026-09-02T19:00:52.240926+00:00,1,1,1,False,2.0,2.0,,
320.07805039500045,2026-09-02T19:00:57.435686+00:00,1,1,1,False,2.0,2.0,,
325.078309642,2026-09-02T19:01:02.577665+00:00,1,1,1,False,2.0,2.0,,
330.0795537680001,2026-09-02T19:01:07.758479+00:00,1,1,1,False,2.0,2.0,,
335.08067213600043,2026-09-02T19:01:12.251236+00:00,1,1,1,False,2.0,2.0,,
340.0813954590003,2026-09-02T19:01:17.437488+00:00,1,1,1,False,2.0,2.0,,
