second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
0,night,7,7,7,0,0.0,32.693248002033215,88.18296159770398,88.58956431802653,55.77796300037465,1.0314773568097735
1,night,7,7,7,0,0.0,31.812547000299674,32.45972150034504,32.58675710094394,31.870497143765014,1.542159298696788
2,night,7,7,7,0,0.0,32.02347900150926,32.39549379941309,32.45464275969425,31.951309142251766,1.1389514726033667
3,night,7,7,7,0,0.0,32.094307000079425,33.27864400089311,33.465923200783436,32.136340571534156,1.1073487276007654
4,night,7,7,7,0,0.0,31.777906999195693,33.61381889881159,33.91169657938008,32.060624999368365,1.1243601409660187
5,night,7,7,7,0,0.0,31.73079900079756,32.42411740066018,32.46286588080693,31.886218571474142,1.3762234146270202
6,night,7,7,7,0,0.0,31.927559000905603,38.50432489962259,40.31813617963053,33.24051471385506,2.9504946567612933
7,night,7,7,7,0,0.0,32.103290999657474,33.57923980038322,34.05149596008414,32.20379400019218,1.2181773705378873
8,night,7,7,7,0,0.0,32.070499000838026,33.38836250004533,33.6718300999928,32.238670715222334,1.2650695836782688
9,night,8,8,8,0,0.0,31.730437500300468,33.06520150053984,33.403741100592015,31.906456625165447,1.2716406479739817
10,night,7,7,7,0,0.0,32.245638001768384,33.58227220014669,33.589713639812544,32.4695377146002,1.0951665295579005
11,night,8,8,8,0,0.0,32.410411002274486,33.980409001378575,34.129486602178076,32.572875875303,2.2896950984431905
12,night,7,7,7,0,0.0,31.91796700048144,33.80135599873029,34.20382639800664,32.20822157059696,1.263297857803991
13,night,7,7,7,0,0.0,31.687898001109716,32.37211840096279,32.40018448079354,31.76073885749377,1.3232676261395682
14,night,7,7,7,0,0.0,32.26697599893669,33.79172550012299,33.955490700827795,32.43378571382242,1.1615277147939196
15,night,8,8,8,0,0.0,32.12234499915212,33.618616048261174,33.89747840825294,32.306575874372356,1.1267279987805523
16,night,8,8,8,0,0.0,32.04541550076101,34.08223844908207,34.294980488521105,32.45413425065635,2.8795349990105024
17,night,8,8,8,0,0.0,31.939807999151526,32.52229970094049,32.59930474072462,31.947410000157106,1.6894000502361453
18,night,8,8,8,0,0.0,31.772442500368925,32.249399900319986,32.37295998027548,31.73431100003654,1.1939169504330494
19,night,8,8,8,0,0.0,31.542517499474343,33.44056410151097,34.08991042178968,31.874230125595204,1.1720774995410466
20,night,8,8,8,0,0.0,32.12485000040033,32.88583515295613,33.05554623289936,32.226334125880385,1.2613020991921076
21,night,8,8,8,0,0.0,31.647466998038,34.30208680092619,35.33082696059864,32.160849750198395,2.8851261991803767
22,night,8,8,8,0,0.0,32.52127449923137,34.43762955048442,34.93904991115414,32.59552037434332,1.317944399852422
23,night,8,8,8,0,0.0,31.841538000662695,33.00834785095503,33.05768077039829,32.00114775063412,1.190493048306962
24,night,8,8,8,0,0.0,31.909641498714336,32.42971780018706,32.5248483595351,31.909579624425533,1.149061399155471
25,night,9,9,9,0,0.0,31.76316699682502,33.04246300103841,33.22439740150003,31.979140110100463,1.2333950005995575
26,night,8,8,8,0,0.0,31.84317049999663,33.61265569928946,34.28193353862298,32.1436437493503,1.6461193501527307
27,night,9,9,9,0,0.0,31.85553500225069,35.08338760002516,35.89302792097442,32.357254222410525,1.3452519779093564
28,night,9,9,9,0,0.0,31.741269998747157,33.84794859885005,34.302625718701165,32.13912933359906,1.190543175471248
29,night,8,8,8,0,0.0,31.675675500082434,37.81811050066608,39.765541301312616,32.86920949994965,1.1155211004734156
30,night,8,8,8,0,0.0,32.228993501121295,32.79393330067251,32.86259546159272,32.15548037496774,1.1687630487358547
31,night,9,9,9,0,0.0,31.687277001765324,33.652975999575574,34.54028320062207,32.00686622181416,2.562444288196274
32,night,9,9,9,0,0.0,31.453150000743335,37.31193559942767,38.76109751989134,32.64802177727688,1.7017517995554954
33,night,9,9,9,0,0.0,31.81269400010933,32.852567600639304,33.06124152135453,31.952036555594532,1.077192110096803
34,night,8,8,8,0,0.0,31.873453001026064,37.97681630076113,40.52768966150324,32.81233975121722,1.131467848608736
35,night,9,9,9,0,0.0,31.953468998835888,33.141081998473965,33.39436679787468,32.13202788821137,1.2700052233412862
36,night,9,9,9,0,0.0,31.48685199994361,38.28383020008914,40.063251638785005,32.93242844423124,1.9155583104293323
37,night,9,9,9,0,0.0,31.687221002357546,32.998547401075484,33.02602068128181,31.93200000088028,1.2800658209016547
38,night,9,9,9,0,0.0,31.938719002937432,32.62684280125541,32.756530161277624,31.924300667419125,1.0240994655760005
39,night,9,9,9,0,0.0,31.72239199921023,32.35403220023727,32.39057364145992,31.723581110579996,1.167174333386356
40,night,9,9,9,0,0.0,31.896136999421287,37.088638799468754,39.689407760015456,32.7160935557913,1.2792680667189416
41,night,9,9,9,0,0.0,31.80115700160968,33.94905940076569,34.21877428103471,32.15113911129366,1.5347352222306654
42,night,9,9,9,0,0.0,31.90929799893638,32.84459239876014,32.906304079369875,31.858302888900248,2.0934806445438876
43,night,9,9,9,0,0.0,32.105243000842165,34.15199379960541,34.76345875940751,32.31707422229293,1.1800687985669356
44,night,9,9,9,0,0.0,31.677776998549234,31.955832801031647,32.06284496045555,31.618431111888235,1.139002733543748
45,night,9,9,9,0,0.0,32.16986599727534,33.04062400129624,33.27370400191285,32.207007444715906,1.2436233984772116
46,night,9,9,9,0,0.0,32.00369399928604,33.86719160043867,34.544164720282424,32.230761000391794,1.9360210884769908
47,night,10,10,10,0,0.0,31.532281998806866,32.46084200018231,32.48908040015522,31.666035099260625,1.9405745990297874
48,night,10,10,10,0,0.0,31.54136000011931,32.112809349746385,32.114997069693345,31.51977369998349,1.960357449024741
49,night,9,9,9,0,0.0,31.690432002505986,32.671450202178676,32.86439484247239,31.763395223000163,1.3625187777506653
50,night,10,10,10,0,0.0,31.7693369997869,32.291353750224516,32.33109954981046,31.844892400113167,2.0587793003869597
51,night,10,10,10,0,0.0,31.926175999615225,32.67978335170483,32.91464627189271,31.947123799909605,2.505812500385219
52,night,10,10,10,0,0.0,31.85284550090728,41.12747379876965,43.66048995849269,33.51938160012651,1.76496824806236
53,night,10,10,10,0,0.0,31.842188001974137,37.58013664846658,39.014536128233885,32.93278610035486,1.5203032489807817
54,night,10,10,10,0,0.0,31.741223499921034,32.431928149708256,32.46514642956754,31.74198009983229,2.0955541513103526
55,night,10,10,10,0,0.0,31.576381499689887,32.37746525192051,32.462538651161594,31.759518400212983,2.063342897235998
56,night,10,10,10,0,0.0,31.49107150056807,32.713489447814936,32.994044287079305,31.642385999293765,2.249835797738343
57,night,10,10,10,0,0.0,31.707499500043923,32.023098101672076,32.051754821477516,31.643805999920005,1.6109797494209488
58,night,9,9,9,0,0.0,31.889514000795316,37.15777459947276,39.61331571961637,32.81632066662294,1.4556841771991456
59,night,10,10,10,0,0.0,31.704361499578226,33.041918599337805,33.5164029194857,31.821990499884123,1.7384365499310666
60,morning_ramp,10,10,10,0,0.0,31.63340550236171,32.030237047729315,32.06689620754332,31.634299600409577,2.0190327986711054
61,morning_ramp,10,10,10,0,0.0,32.25957850008854,34.87367165125761,35.558378331879794,32.72637150112132,1.6109622483782005
62,morning_ramp,11,11,11,0,0.0,31.95367000080296,36.734171999341925,39.39231520089379,32.7958488180064,1.9362247257959098
63,morning_ramp,11,11,11,0,0.0,31.898637000267627,35.8622905005177,36.17298529934487,32.73483863681163,1.8385719085927121
64,morning_ramp,12,12,12,0,0.0,31.825636500798282,32.367782849178184,32.44221896893578,31.805378583158017,2.2849170496556326
65,morning_ramp,11,11,11,0,0.0,31.783372000063537,33.1276995002554,33.402859900161275,31.961094272529326,1.9541397286957363
66,morning_ramp,12,12,12,0,0.0,31.793746498806286,34.546392299671425,35.89279846040881,32.231328333485486,3.02903299962054
